NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.0
M[0]: mak_local 147.444458 energy 16395.378906, total energy 16395.378906 (41 tasks). 4 cores, 188173.00 GFLOPS, E:59.60-118.50
M[1]: mak_local 136.407486 energy 16855.628906, total energy 33251.007812 (36 tasks). 4 cores, 173021.00 GFLOPS, E:68.90-119.00
M[2]: mak_local 149.701614 energy 17164.220703, total energy 50415.226562 (79 tasks). 4 cores, 307615.00 GFLOPS, E:38.20-120.00
M[3]: mak_local 101.828766 energy 16170.155273, total energy 66585.382812 (16 tasks). 4 cores, 165629.00 GFLOPS, E:63.50-129.00
M[4]: mak_local 111.438309 energy 16392.271484, total energy 82977.656250 (4 tasks). 2 cores, 54479.00 GFLOPS, E:86.00-117.00
M[5]: mak_local 150.457901 energy 16936.958984, total energy 99914.617188 (42 tasks). 12 cores, 459729.00 GFLOPS, E:40.50-134.70
M[6]: mak_local 149.211182 energy 16695.617188, total energy 116610.234375 (26 tasks). 6 cores, 256780.00 GFLOPS, E:61.00-129.50
M[7]: mak_local 115.020996 energy 12459.380859, total energy 129069.617188 (20 tasks). 4 cores, 183767.00 GFLOPS, E:48.70-95.00
M[8]: mak_local 139.418869 energy 15344.551758, total energy 144414.171875 (24 tasks). 6 cores, 231108.00 GFLOPS, E:40.20-109.00
M[9]: mak_local 142.642426 energy 19266.037109, total energy 163680.203125 (8 tasks). 4 cores, 100845.00 GFLOPS, E:93.50-130.00
M[10]: mak_local 118.873810 energy 21914.968750, total energy 185595.171875 (12 tasks). 4 cores, 137497.00 GFLOPS, E:92.70-160.30
M[11]: mak_local 145.731384 energy 20991.701172, total energy 206586.875000 (70 tasks). 6 cores, 459263.00 GFLOPS, E:59.90-150.40
M[12]: mak_local 137.529938 energy 28654.488281, total energy 235241.359375 (70 tasks). 10 cores, 556330.00 GFLOPS, E:105.80-209.30
M[13]: mak_local 109.892647 energy 14065.310547, total energy 249306.671875 (12 tasks). 4 cores, 138462.00 GFLOPS, E:63.30-105.10
M[14]: mak_local 126.063271 energy 18324.324219, total energy 267631.000000 (48 tasks). 12 cores, 469103.00 GFLOPS, E:42.80-140.70
M[15]: mak_local 129.937943 energy 24105.714844, total energy 291736.718750 (4 tasks). 2 cores, 52303.00 GFLOPS, E:105.00-169.00
Makespan: 150.457901 energy consumption: 291736.718750 heavy: 5
**********
NT: 512, NM: 16, arch_ETC: instances/workload.0, arch_proc: instances/scenario.1
M[0]: mak_local 163.008255 energy 25179.068359, total energy 25179.068359 (32 tasks). 4 cores, 111872.00 GFLOPS, E:107.30-146.00
M[1]: mak_local 172.927490 energy 14617.100586, total energy 39796.167969 (64 tasks). 6 cores, 203477.00 GFLOPS, E:37.30-89.00
M[2]: mak_local 160.524628 energy 20618.851562, total energy 60415.019531 (28 tasks). 2 cores, 78928.00 GFLOPS, E:78.80-120.00
M[3]: mak_local 130.408417 energy 22270.820312, total energy 82685.843750 (4 tasks). 2 cores, 47927.00 GFLOPS, E:82.00-138.00
M[4]: mak_local 0.000000 energy 23735.953125, total energy 106421.796875 (0 tasks). 2 cores, 21521.00 GFLOPS, E:130.00-208.30
M[5]: mak_local 104.023285 energy 25824.369141, total energy 132246.171875 (4 tasks). 2 cores, 52303.00 GFLOPS, E:105.00-169.00
M[6]: mak_local 181.647400 energy 20463.556641, total energy 152709.734375 (52 tasks). 12 cores, 459729.00 GFLOPS, E:40.50-134.70
M[7]: mak_local 175.037201 energy 23802.060547, total energy 176511.796875 (20 tasks). 4 cores, 154045.00 GFLOPS, E:69.00-134.50
M[8]: mak_local 182.584259 energy 41964.703125, total energy 218476.500000 (69 tasks). 8 cores, 461606.00 GFLOPS, E:135.60-241.50
M[9]: mak_local 144.457886 energy 14951.402344, total energy 233427.906250 (42 tasks). 6 cores, 318441.00 GFLOPS, E:35.70-96.10
M[10]: mak_local 176.207199 energy 20179.125000, total energy 253607.031250 (53 tasks). 4 cores, 307615.00 GFLOPS, E:38.20-120.00
M[11]: mak_local 155.743073 energy 19835.708984, total energy 273442.750000 (44 tasks). 4 cores, 280253.00 GFLOPS, E:41.20-122.80
M[12]: mak_local 151.456665 energy 20913.792969, total energy 294356.531250 (20 tasks). 4 cores, 161999.00 GFLOPS, E:65.00-126.00
M[13]: mak_local 171.151917 energy 22454.064453, total energy 316810.593750 (48 tasks). 12 cores, 416178.00 GFLOPS, E:48.00-131.00
M[14]: mak_local 129.115829 energy 21007.609375, total energy 337818.187500 (16 tasks). 4 cores, 150979.00 GFLOPS, E:76.90-131.80
